,Product Name,Product Price,Description,Ratings
21,"Infinix Zero Flip 5G (Rock Black, 512 GB)","₹49,999",8 GB RAM | 512 GB ROM17.53 cm (6.9 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera4720 mAh Lithium-ion Polymer BatteryDimensity 8020 ProcessorStandard 1 Year on Handset and 6 Months on Accessories. Physical and Liquid Damange Not Covered Under The Standard Warranty.,4.4
22,"Infinix Zero Flip 5G (Blossom Glow, 512 GB)","₹49,999",8 GB RAM | 512 GB ROM17.53 cm (6.9 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera4720 mAh Lithium-ion Polymer BatteryDimensity 8020 ProcessorStandard 1 Year on Handset and 6 Months on Accessories. Physical and Liquid Damange Not Covered Under The Standard Warranty.,4.4
23,"vivo X90 (Asteroid Black, 256 GB)","₹48,778",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 12MP + 12MP | 32MP Front Camera4810 mAh BatteryDimensity 9200 Processor1 Year Handset and 6 Months Accessories,4.3
24,"vivo V40 5G (Lotus Purple, 512 GB)","₹42,999",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.6
25,"OPPO Reno 12 Pro 5G (Manish Malhotra Limited Edition, 256 GB)","₹36,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
26,"vivo V40 Pro 5G (Ganges Blue, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5
27,"SAMSUNG Galaxy A36 5G (Awesome Lavender, 256 GB)","₹35,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 12MP Front Camera5000 mAh BatteryQualcomm Snapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
28,"Xiaomi 14 CIVI (Shadow Black, 512 GB)","₹43,999",12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
29,"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)","₹42,990",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatterySamsung Exynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4
30,"SAMSUNG Galaxy S23 5G (Phantom Black, 256 GB)","₹41,999",8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.6
31,"vivo V40 Pro 5G (Titanium Grey, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5
32,"vivo V29 Pro 5G (Blue, 256 GB)","₹40,000",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 12MP + 8MP | 50MP Front Camera4600 mAh BatteryDimensity 8200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.5
33,"realme GT 5G (Dashing Silver, 128 GB)","₹40,999",8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Full HD+ Display64MP + 8MP + 2MP | 16MP Front Camera4500 mAh BatteryQualcomm Snapdragon 888 Processor1 Year Warranty for Mobile and 6 Months for Accessories,4.2
34,"vivo X80 (Cosmic Black, 128 GB)","₹40,670",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 12MP + 12MP | 32MP Front Camera4500 mAh Lithium BatteryMediatek Dimensity 9000 Processor1 Year on Handset and 6 Months on Accessories,4.4
35,"IQOO 12 5G (Alpha, 256 GB)","₹49,495",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5000 mAh Battery1 Year Brand Warranty,4.5
